Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
,SQS - Standard Queues,7.521341200000002,9.27037679999999,10.978554399999998,11.1270804,10.3278924,4.543522400000006,3.4370872000000006,3.4469364,2.6543768,7.788617600000003,2.8910839999999998,4.242967600000002,0.5277928000000011,78.75763
,Step Functions - State Transition,0.008525000000000001,0.020025,0.011325000000000002,0.008525000000000001,0.00825,0.06434999999999999,0.016425000000000002,0.0108,0.008525000000000001,0.012,0.0098,0.0088,0.0011,0.18845
,Storage Gateway - File Share Request,125.00000000019999,125.00000000010002,125.00000000010002,124.99999999999999,125.0000000001,42.5097820309,35.0937163403,40.581448263700004,47.1082414407,49.469019738,40.525754824,39.63962888499999,6.2788670335,926.2064585566003
,Transfer Family - Data Transfer,61.976012508299995,62.0833415023,68.4121085307,68.01373847500001,67.63324343670001,70.206852787,85.024684598,70.40750773989998,34.61219867879999,0.1053466946,0.0731984681,0.9241126011,0.008174131300000002,589.4805201518002
,Transfer Family - Protocol,1481.2193403329993,1295.9999999999995,1339.1999999999994,1339.1999999999994,1295.9999999999995,1339.1999999999994,1377.6858825839995,1562.3999999999992,1562.3999999999992,1441.6669875839993,1895.9462458319995,1996.7055205829997,277.07683925099997,18204.700816166995
,Virtual Private Cloud - VPC Endpoint Transfer,11.911333374899998,11.841119602299992,9.627630042700002,10.403472052699998,11.537013792100003,8.130065091499999,10.245884822199999,8.933849808400002,6.464697236200001,2.5310098506000007,2.4374362673,1.9172130853999994,0.2141076723,96.19483269859998
,Virtual Private Cloud - VPC Endpoint Usage,5783.6802709518015,5597.020513938702,5743.147855864002,5568.153261353502,5429.521509672201,5626.272226179601,5406.853002957002,5536.4160371714,5855.220904911401,5343.0814911776015,6107.0616375952,6069.320741621197,780.5939389022998,68846.34339229592
,Virtual Private Cloud - VPN Connection Usage,111.60000000000002,108.00000000000003,111.60000000000001,114.45000000000005,108.00000000000003,111.60000000000002,108.00000000000004,111.60000000000002,111.60000000000002,100.80000000000003,111.60000000000002,108.00000000000003,13.8,1330.6500000000003
,WAF - Request,0.34799900000000006,0.2509552,0.2616932,0.25238780000000005,0.2351524,0.20971760000000003,0.19446319999999997,0.22650180000000003,0.23638920000000002,0.2012416,0.21823599999999996,0.2504945,0.028250300000000002,2.9134818
,WAF - Rule,199.99999992480002,193.9871180237,181.9999999896,181.9999999896,182.00000001599997,181.9999999896,178.95782456729998,177.9999999792,177.99999997920003,178.6910320454,191.0869846353,199.41900607579998,26.3387096792,2252.4806748947
,WAF - WebACL,169.99999728,164.98926636599998,154.99999752000002,154.99999752000002,155.00000124,154.99999752000002,151.19728192899998,149.99999759999997,149.99999759999997,150.86378617199995,158.94781945149998,161.22750296399997,20.403225480000007,1897.6288686424996
,CloudFront - HTTP Requests,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CloudFront - HTTPS Requests,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CloudFront - Other,0,,0,0,0,,0,0,0,0,0,0,,0
,CloudFront - Transfer,6.04e-8,0,0,0,0,0,0.0000046584,0.0000356355,0.00004954329999999999,0.00004927559999999999,0.0000926737,0.0000523778,0.00000699,0.0002912147
,CloudWatch - Alarms,18.464504835299998,18.3885648059,18.317629816,18.2014335546,18.1989814435,29.0255039168,30.270625015,30.255689969599995,30.380981177499997,31.5956970416,31.49145381090001,31.78266205870001,3.2185483948,309.5922758402
,CloudWatch Log Groups,866.5408044539994,863.3794969082004,830.4804683744997,867.2939658861989,1140.4133536505997,1507.4978093128989,1312.2042413293993,983.3129776810988,987.2636142939994,938.3385035678991,995.6907595669988,974.1414285661998,122.90572035120009,12389.46314394319
,CloudWatch - Metrics,7.804838826,7.8508332608,7.2000001079999985,6.967742039999999,10.0112499102,12.610887295,12.009166591700001,11.40000018,11.294758241199998,11.357142931200002,10.845161462299998,9.9720832658,0.8862903366999999,120.2101544489
,DataSync,4.2105229309,55.9683320745,1.8062765771000002,78.32017129940002,,3.0925455859,,,,,,54.17221667700001,,197.57006514480003
,DynamoDB - Backup,0.000035498299999999985,0.00003551849999999995,0.000035527399999999974,0.000035654699999999976,0.00003565940000000001,0.000035612200000000004,0.00003567250000000002,0.00003567640000000001,0.00003564120000000002,0.00003568679999999996,0.00003741879999999998,0.000041882600000000066,0.00004171140000000011,0.0004771602000000001
,DynamoDB - Provisioned Read Capacity,5.0887199999999995,4.8515999999999995,5.17608,5.0980799999999995,6.941999999999999,7.300799999999999,7.066799999999999,7.403759999999999,7.341359999999999,6.483359999999999,7.222799999999999,7.023119999999999,0,76.99848
,DynamoDB - Provisioned Write Capacity,23.8836,22.479600000000005,23.946000000000005,23.977200000000003,32.90625000000001,34.78800000000001,33.462,34.944,34.788000000000004,30.513600000000004,34.772400000000005,33.6336,0,364.09425000000005
